ID,Label
Q16584,1
O14578,1
Q969D9,1
P47871,1
Q09470,1
P04629,1
Q9UK32,1
P30542,1
P02768,1
P22830,1
Q9NPD5,1
P06881,1
Q92847,1
P31994,1
P00488,1
P62269,1
P42345,1
Q8NEC5,1
P49916,1
P29274,1
P01130,1
Q9HBH5,1
P02743,1
P51451,1
Q12851,1
Q03721,1
P02774,1
P31749,1
O43676,1
P07437,1
Q8NEV4,1
P33032,1
P19438,1
P30405,1
P20594,1
Q14145,1
P04626,1
Q9Y6K1,1
Q9HC29,1
Q9Y616,1
P08263,1
Q15391,1
Q16772,1
P32754,1
Q16595,1
P10415,1
O43708,1
P16083,1
Q9Y666,1
Q9BW92,1
Q9Y5Y4,1
P01116,1
Q9ULD8,1
P05067,1
Q00534,1
P24394,1
P04843,0
O60282,0
Q13155,0
Q9UJV8,0
Q99966,0
Q86VV4,0
Q8N283,0
Q8IVV7,0
P46821,0
Q8N8Z6,0
Q9Y5U9,0
Q8NH63,0
Q86YJ5,0
Q14314,0
Q9HB63,0
P0CG01,0
P15927,0
P83881,0
A6NGH8,0
Q6ZUB1,0
Q6ZSY5,0
Q96EL1,0
Q96PD6,0
Q6P9G4,0
Q9P2H5,0
P0C8F1,0
A0A0A0MS05,0
Q8WWU7,0
P55316,0
P10643,0
Q5U651,0
Q9UMQ6,0
Q8IUK5,0
Q3SY05,0
Q13190,0
Q9Y4F5,0
Q13886,0
O75352,0
P55107,0
H3BSY2,0
Q8WW35,0
Q96FE5,0
Q9Y657,0
Q4KMP7,0
Q8IYE1,0
Q9UJQ1,0
Q96RE7,0
Q15973,0
Q96BU1,0
Q13361,0
A8MXZ1,0
Q9Y496,0
Q8N475,0
Q16181,0
Q15833,0
Q5TYX0,0
Q8N5J2,0
P22492,0
Q8IUI8,0
Q8WUT9,0
Q15435,0
A6NLI5,0
P62249,0
Q08623,0
Q5T2W1,0
Q8N309,0
P0DJR0,0
Q53G59,0
Q9BT25,0
O75884,0
Q2VIR3,0
Q8NF86,0
Q8WW59,0
Q8N614,0
Q9P1Q5,0
Q5UE93,0
Q3SYF9,0
Q9UJA3,0
Q86XZ4,0
O95544,0
Q9HDD0,0
Q9Y581,0
Q8N1I8,0
Q9NZP0,0
O95147,0
Q92900,0
O14718,0
Q9NZP2,0
Q9NP86,0
Q86UN2,0
Q96E52,0
Q6ZQV5,0
Q9NQ03,0
A0A1B0GUI7,0
Q13795,0
Q4VXA5,0
Q6ZVL8,0
O15357,0
Q9H205,0
O14626,0
Q9Y6D0,0
Q9HBD1,0
A8MTW9,0
Q86Y97,0
Q9HCN2,0
Q8IZD0,0
Q6ZSZ5,0
O15479,0
P30740,0
A0AVF1,0
Q96Q89,0
A0A0B4J2D9,0
Q6PKX4,0
Q86XI2,0
Q9UQ49,0
Q99986,0
Q8WXH2,0
Q8IYM2,0
Q86YW7,0
Q9H8X9,0
Q8N5M1,0
A6NE02,0
Q9BQS8,0
A6NKK0,0
O43854,0
A0A0U1RR11,0
Q9H607,0
O60688,0
Q9Y371,0
Q4VXF1,0
Q9BYR8,0
Q15025,0
Q8WZ84,0
Q96L03,0
Q9GZK4,0
Q3B7T1,0
Q8WWV6,0
Q17RD7,0
Q96ST2,0
Q9H446,0
Q9BRP9,0
Q96N58,0
Q92914,0
Q6NT04,0
P13682,0
A8MUL3,0
A8MXE2,0
Q9BRC7,0
Q8WTX9,0
Q96DE5,0
Q9H5K3,0
Q9UC06,0
O94966,0
B4DH59,0
Q8WXD5,0
Q9UIJ5,0
Q9NQW5,0
Q9H190,0
Q86SI9,0
Q9P246,0
Q14847,0
Q9UHD9,0
P20749,0
Q147U7,0
Q9NQ87,0
A0A0B4J2A2,0
P17021,0
Q9Y623,0
P47914,0
P0DMR2,0
Q8NGX2,0
O60841,0
O15213,0
Q9C009,0
O76041,0
A0A0A0MS04,0
Q13232,0
O95214,0
Q9NYK5,0
Q6UWZ7,0
Q96BR5,0
Q3LI63,0
Q9Y6E2,0
O75534,0
Q9UGL1,0
Q8WTU2,0
Q9BYE9,0
P16150,0
Q38SD2,0
Q5TGY3,0
O75431,0
Q9BYG0,0
Q5VWX1,0
Q16695,0
Q6ZPA2,0
Q99816,0
Q9UBX2,0
Q96KP4,0
Q5T5D7,0
Q33E94,0
B2RTY4,0
P53801,0
Q6UWH4,0
Q9BZ67,0
A0A3B3IS91,0
Q15643,0
Q7Z5H5,0
Q9BSU3,0
Q5TF58,0
Q6MZZ7,0
Q9NUN7,0
A6NF36,0
Q8NA31,0
Q16514,0
P78386,0
A8MVJ9,0
Q9NYL9,0
Q13889,0
B9A064,0
Q96PB1,0
Q6ZQT0,0
Q9UHB9,0
Q96S07,0
Q92902,0
Q9H172,0
